시간,동작,내용
2026-04-29 11:45:18,자동정지,시간 초과
2026-04-29 11:45:21,정방향구동,속도=70%, 시간=2000ms
2026-04-29 11:45:23,자동정지,시간 초과
2026-04-29 11:45:27,정방향구동,속도=70%, 시간=2000ms
2026-04-29 11:45:29,자동정지,시간 초과
2026-04-29 11:46:14,스텝전진,무한 정방향
2026-04-29 11:46:22,스텝정지,모터 OFF
2026-04-29 11:46:52,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:46:53,자동정지,시간 초과
2026-04-29 11:46:55,정방향구동,속도=70%, 시간=100ms
2026-04-29 11:46:55,자동정지,시간 초과
2026-04-29 11:46:57,정방향구동,속도=70%, 시간=100ms
2026-04-29 11:46:57,자동정지,시간 초과
2026-04-29 11:47:20,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:47:21,자동정지,시간 초과
2026-04-29 11:47:25,정방향구동,속도=70%, 시간=0ms
2026-04-29 11:47:27,정지,컨베이어 정지
2026-04-29 11:47:29,정방향구동,속도=70%, 시간=100ms
2026-04-29 11:47:29,자동정지,시간 초과
2026-04-29 11:47:30,정방향구동,속도=70%, 시간=100ms
2026-04-29 11:47:30,자동정지,시간 초과
2026-04-29 11:47:31,정방향구동,속도=70%, 시간=100ms
2026-04-29 11:47:31,자동정지,시간 초과
2026-04-29 11:47:39,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:47:40,자동정지,시간 초과
2026-04-29 11:47:43,정방향구동,속도=70%, 시간=0ms
2026-04-29 11:47:48,정지,컨베이어 정지
2026-04-29 11:48:43,스텝전진,무한 정방향
2026-04-29 11:48:53,스텝후진,무한 역방향
2026-04-29 11:48:56,스텝정지,모터 OFF
2026-04-29 11:48:58,스텝전진,무한 정방향
2026-04-29 11:48:59,스텝정지,모터 OFF
2026-04-29 11:49:00,정방향구동,속도=70%, 시간=0ms
2026-04-29 11:49:02,역방향구동,속도=70%, 시간=0ms
2026-04-29 11:49:19,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:49:19,정지,컨베이어 정지
2026-04-29 11:49:23,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:49:24,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:49:25,자동정지,시간 초과
2026-04-29 11:49:30,정방향구동,속도=70%, 시간=0ms
2026-04-29 11:49:31,역방향구동,속도=70%, 시간=0ms
2026-04-29 11:49:39,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:49:39,정지,컨베이어 정지
2026-04-29 11:49:43,역방향구동,속도=70%, 시간=0ms
2026-04-29 11:49:56,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:49:57,정지,컨베이어 정지
2026-04-29 11:50:01,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:50:02,자동정지,시간 초과
2026-04-29 11:50:04,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:50:05,자동정지,시간 초과
2026-04-29 11:50:09,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:50:10,자동정지,시간 초과
2026-04-29 11:50:12,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:50:13,자동정지,시간 초과
2026-04-29 11:50:14,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:50:15,자동정지,시간 초과
2026-04-29 11:51:36,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:51:37,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:51:37,정지,컨베이어 정지
2026-04-29 11:51:38,스텝전진,무한 정방향
2026-04-29 11:51:49,스텝후진,무한 역방향
2026-04-29 11:51:54,스텝전진,무한 정방향
2026-04-29 11:51:57,스텝정지,모터 OFF
2026-04-29 11:52:00,스텝전진,무한 정방향
2026-04-29 11:52:01,스텝정지,모터 OFF
2026-04-29 11:52:22,스텝전진,무한 정방향
2026-04-29 11:52:35,스텝정지,모터 OFF
